Month,Quarter,Date,Category,Vendor,Amount,Notes,Receipt Image,Receipt File
7,Q3,7/8/2025,Equipment,Amazon,1837.23,Laptop,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Pt6nsPtdiGnP7ahNZpS6.png,
7,Q3,7/11/2025,Donations,Leukemia & Lymphoma Society,50,Light the night donation,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/IoI2NKDhZRFLGknQZusy.png,
7,Q3,7/9/2025,Donations,Fairway Games,41.66,American Warrior fundraiser,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/FHEreEAXhH5OuiSTehWH.png,
7,Q3,7/10/2025,Utilities,MG&E,187.18,Electric bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/RXgWQvrgj92URfOaQZ7H.png,
7,Q3,7/16/2025,Contractors,Callagan Design,800,Website design,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/9hS6NIVNOlxjrF03pK0y.png,
7,Q3,7/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/1xPbGNEt6REqduyGatnj.png,
6,Q2,6/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/jhEX1gRtFuPRfawBI7mj.png,
7,Q3,7/18/2025,Donations,Amazon,24.85,Helping the homeless donation,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/0qZzAPeNOq7AanZ1YRmb.png,
7,Q3,7/20/2025,Equipment,Amazon,18.97,Monitor risers,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/RqDEpKqutYSP0fvivJ3i.png,
7,Q3,7/23/2025,Meals,Green Lantern,20,TW networking breakfast,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/X2oTW5UbtO5BQReDDYfo.jpg,
7,Q3,7/20/2025,Fuel,Kwik Trip,51.57,Fill up gas for driving to client meetings ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/pqfv0ApBnFr3WZkVd1PK.jpg,
7,Q3,7/19/2025,Meals,Einstein Bagels,23.17,Breakfast with client,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/YmM7YB3WQfyzilrCwHUN.jpg,
8,Q3,8/2/2025,Utilities,Spectrum,59.99,July internet bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/WyY3mW3t4mZPmW9LCGUu.png,
8,Q3,8/6/2025,Utilities,Madison Municipal Services ,74.6,July water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/GTVhCyQV704nRrT7tNol.png,
7,Q3,7/1/2025,Rent,Gyongyi Petrak ,2700,July rent,,
8,Q3,8/1/2025,Rent,Gyongyi Petrak ,2700,Aug rent,,
8,Q3,8/6/2025,Meals,Green Lantern,20,Team Women networking breakfast,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/qk7WPa3S03VQUmRQo4Sk.jpg,
7,Q3,7/1/2025,Vehicle,Summit credit Union,495.99,July car payment,,
8,Q3,8/1/2025,Vehicle,Summit Credit Union,495.99,Aug car payment,,
8,Q3,8/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/zchvP9h1lFDSb0tCdUUU.png,
8,Q3,8/11/2025,Utilities,MG&E,214.95,Electric bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Gvv4WFigcpLgcLPgE4Jk.png,
9,Q3,9/3/2025,Meals,Green Lantern,13.75,Team Women networking breakfast ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/9aqkErTGEfjJw5F1mE0d.jpg,
9,Q3,9/4/2025,Repair & Maintenance,Madison Green team,189.9,Lawn mowing service,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/qF63o4lGOS41oSbubvhg.png,
9,Q3,9/8/2025,Utilities,Madison Municipal Services ,71.79,Water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/YrkTl6cBsle6iu2hxonx.png,
9,Q3,9/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/gSSMB3f7q0qoygkohGvE.png,
9,Q3,9/9/2025,Software,Anthropic,20,Claude AI,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/3aP27f1xu9tvuD6A2X2x.png,
9,Q3,9/1/2025,Rent,Gyongyi Petrak ,2700,Rent,,
9,Q3,9/10/2025,Utilities,MG&E,135.74,Electric bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/PuRLmQrZ2AfU2NQFCWza.png,
9,Q3,9/25/2025,Advertising,Team women,25,Networking group dues,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/HAYZQshxIMJnAPltVSkV.jpg,
